Dimensions,HMS,HMCR,PAR,BW,MaxIter,ExecutionTime(s),Cores,Seed,BestFitness,ExecutionType
32,1000,0.9,0.3,0.01,100000000,174.134,8,42,122.682,MPI
32,1000,0.9,0.3,0.01,100000000,358.07,4,42,78.5606,MPI
32,1000,0.9,0.3,0.01,100000000,360.244,4,42,78.5606,MPI
32,1000,0.9,0.3,0.01,100000000,90.7803,16,42,29.4458,MPI
32,1000,0.9,0.3,0.01,100000000,90.8546,16,42,29.4458,MPI
35,1000,0.9,0.3,0.01,100000000,182.47,8,42,31.7897,MPI
35,1000,0.9,0.3,0.01,100000000,182.708,8,42,31.7897,MPI
32,1000,0.9,0.3,0.01,100000000,49.6692,32,42,28.0944,MPI
32,1000,0.9,0.3,0.01,100000000,50.0798,32,42,28.0944,MPI
35,1000,0.9,0.3,0.01,100000000,189.285,8,42,31.7897,MPI
35,1000,0.9,0.3,0.01,100000000,189.001,8,42,31.7897,MPI
35,1000,0.9,0.3,0.01,100000000,188.174,8,42,31.7897,MPI
32,1000,0.9,0.3,0.01,100000000,361.882,4,42,78.5606,MPI
32,1000,0.9,0.3,0.01,100000000,42.4006,64,42,28.6859,MPI
32,1000,0.9,0.3,0.01,100000000,47.0994,64,42,28.6859,MPI
32,1000,0.9,0.3,0.01,100000000,177.346,8,42,122.682,MPI
64,1000,0.9,0.3,0.01,100000000,3236.49,1,42,114.167,Sequential
35,1000,0.9,0.3,0.01,100000000,97.0572,16,42,32.4089,MPI
35,1000,0.9,0.3,0.01,100000000,96.822,16,42,32.4089,MPI
35,1000,0.9,0.3,0.01,100000000,98.5679,16,42,32.4089,MPI
35,1000,0.9,0.3,0.01,100000000,98.1455,16,42,32.4089,MPI
35,1000,0.9,0.3,0.01,100000000,98.0613,16,42,32.4089,MPI
32,1000,0.9,0.3,0.01,100000000,178.244,8,42,122.682,MPI
35,1000,0.9,0.3,0.01,100000000,55.2041,32,42,32.6702,MPI
32,1000,0.9,0.3,0.01,100000000,90.9813,16,42,29.4458,MPI
35,1000,0.9,0.3,0.01,100000000,54.3849,32,42,32.6702,MPI
